wam.txt 0 :	0 0 0 
wam.txt 97 :	0 0 1 
wam.txt 98 :	0 1 1 
wam.txt 99 :	0 0 1 
wam.txt 100 :	0 0 1 
wam.txt 101 :	0 1 1 
wam.txt 102 :	0 0 1 
wam.txt 103 :	0 0 1 
wam.txt 104 :	1 0 1 
wam.txt 105 :	0 1 1 
wam.txt 106 :	0 1 1 
wam.txt 107 :	0 1 1 
wam.txt 108 :	0 1 1 
wam.txt 109 :	0 0 1 
wam.txt 110 :	0 0 1 
wam.txt 111 :	0 0 1 
wam.txt 112 :	0 0 1 
wam.txt 113 :	0 0 1 
wam.txt 114 :	0 0 1 
wam.txt 115 :	0 0 1 
wam.txt 116 :	0 0 1 
wam.txt 117 :	0 1 1 
wam.txt 118 :	0 1 1 
wam.txt 119 :	0 0 1 
wam.txt 120 :	0 0 1 
wam.txt 121 :	0 1 1 
wam.txt 122 :	0 1 1 
wam.txt 123 :	0 1 1 
wam.txt 124 :	0 1 1 
wam.txt 125 :	0 1 1 
wam.txt 126 :	0 0 1 
wam.txt 127 :	0 0 0 
wam.txt 128 :	0 1 1 
wam.txt 129 :	0 0 1 
wam.txt 130 :	0 1 0 
wam.txt 131 :	0 1 0 
wam.txt 132 :	0 1 1 
wam.txt 133 :	0 0 1 
wam.txt 134 :	0 1 1 
wam.txt 135 :	0 0 1 
wam.txt 136 :	0 0 1 
wam.txt 137 :	0 1 1 
wam.txt 138 :	0 1 1 
wam.txt 139 :	0 1 1 
wam.txt 140 :	0 1 1 
wam.txt 141 :	0 1 1 
wam.txt 142 :	0 1 1 
wam.txt 143 :	0 0 1 
wam.txt 144 :	0 0 1 
wam.txt 145 :	0 0 1 
wam.txt 146 :	0 0 1 
wam.txt 147 :	0 0 1 
wam.txt 148 :	1 0 1 
wam.txt 149 :	0 0 1 
wam.txt 150 :	0 1 1 
wam.txt 151 :	1 1 1 
wam.txt 152 :	0 1 1 
wam.txt 153 :	1 1 1 
wam.txt 154 :	0 0 1 
wam.txt 155 :	0 0 1 
wam.txt 156 :	0 1 1 
wam.txt 157 :	0 1 1 
wam.txt 158 :	0 0 1 
wam.txt 159 :	0 0 1 
wam.txt 160 :	0 0 1 
wam.txt 161 :	0 0 0 
wam.txt 162 :	0 1 0 
wam.txt 163 :	0 1 1 
wam.txt 164 :	0 1 1 
wam.txt 165 :	0 0 1 
wam.txt 166 :	0 0 1 
wam.txt 167 :	0 1 1 
wam.txt 168 :	0 1 1 
wam.txt 169 :	0 0 1 
wam.txt 170 :	0 1 0 
wam.txt 171 :	0 0 1 
wam.txt 172 :	1 0 0 
wam.txt 173 :	0 1 1 
wam.txt 174 :	0 0 1 
wam.txt 175 :	0 1 0 
wam.txt 176 :	0 1 1 
wam.txt 177 :	0 1 1 
wam.txt 178 :	0 0 1 
wam.txt 179 :	0 0 1 
wam.txt 180 :	0 0 1 
wam.txt 181 :	0 0 1 
wam.txt 182 :	0 0 0 
wam.txt 183 :	1 1 1 
wam.txt 184 :	0 0 1 
wam.txt 185 :	0 1 0 
wam.txt 186 :	1 1 1 
wam.txt 187 :	0 0 1 
wam.txt 188 :	0 0 1 
wam.txt 189 :	0 0 1 
wam.txt 190 :	0 1 1 
wam.txt 191 :	0 0 1 
wam.txt 192 :	0 0 1 
wam.txt 193 :	0 1 1 
wam.txt 194 :	0 0 1 
wam.txt 195 :	0 1 1 
wam.txt 196 :	0 1 1 
wam.txt 197 :	0 0 1 
wam.txt 198 :	1 1 1 
wam.txt 199 :	0 0 1 
wam.txt 200 :	0 1 1 
wam.txt 201 :	0 0 1 
wam.txt 202 :	0 1 1 
wam.txt 203 :	0 1 1 
wam.txt 204 :	1 1 1 
wam.txt 205 :	0 1 1 
wam.txt 206 :	0 0 1 
wam.txt 207 :	0 0 1 
wam.txt 208 :	0 1 1 
wam.txt 209 :	0 1 1 
wam.txt 210 :	0 0 1 
wam.txt 211 :	0 0 1 
wam.txt 212 :	0 1 1 
wam.txt 213 :	1 1 1 
wam.txt 214 :	0 0 1 
wam.txt 215 :	0 1 1 
wam.txt 216 :	0 1 1 
wam.txt 217 :	0 0 1 
wam.txt 218 :	0 0 1 
wam.txt 219 :	0 1 0 
wam.txt 220 :	0 0 1 
wam.txt 221 :	0 0 1 
wam.txt 222 :	0 1 1 
wam.txt 223 :	1 1 1 
wam.txt 224 :	0 0 1 
wam.txt 225 :	0 1 1 
wam.txt 226 :	0 1 1 
wam.txt 227 :	0 0 1 
wam.txt 228 :	0 1 1 
wam.txt 229 :	0 1 1 
wam.txt 230 :	0 1 0 
wam.txt 231 :	0 1 1 
wam.txt 232 :	0 0 1 
wam.txt 233 :	0 0 1 
wam.txt 234 :	0 0 1 
wam.txt 235 :	0 0 1 
wam.txt 236 :	0 0 1 
wam.txt 237 :	0 0 1 
wam.txt 238 :	0 1 1 
wam.txt 239 :	0 0 1 
wam.txt 240 :	1 1 1 
wam.txt 241 :	0 1 1 
wam.txt 242 :	0 1 1 
wam.txt 243 :	0 0 1 
wam.txt 244 :	0 1 1 
wam.txt 245 :	0 1 1 
wam.txt 246 :	0 0 1 
wam.txt 247 :	0 1 1 
wam.txt 248 :	0 1 1 
wam.txt 249 :	0 1 1 
wam.txt 250 :	1 1 1 
wam.txt 251 :	0 1 1 
wam.txt 252 :	0 1 1 
wam.txt 253 :	0 1 1 
wam.txt 254 :	0 0 1 
wam.txt 255 :	0 0 1 
wam.txt 256 :	0 0 1 
wam.txt 257 :	0 1 1 
wam.txt 258 :	0 0 0 
wam.txt 259 :	0 1 1 
wam.txt 260 :	0 1 1 
wam.txt 261 :	0 1 0 
wam.txt 262 :	0 0 1 
wam.txt 263 :	0 0 1 
wam.txt 264 :	0 1 1 
wam.txt 265 :	0 0 1 
wam.txt 266 :	0 0 1 
wam.txt 267 :	0 0 1 
wam.txt 268 :	0 1 1 
wam.txt 269 :	0 0 1 
wam.txt 270 :	0 0 1 
wam.txt 271 :	0 1 1 
wam.txt 272 :	0 1 0 
wam.txt 273 :	0 0 1 
wam.txt 274 :	0 1 1 
wam.txt 275 :	0 0 1 
wam.txt 276 :	0 1 1 
wam.txt 277 :	1 1 0 
wam.txt 278 :	0 1 1 
wam.txt 279 :	0 1 1 
wam.txt 280 :	0 0 1 
wam.txt 281 :	0 0 1 
wam.txt 282 :	0 0 1 
wam.txt 283 :	0 0 1 
wam.txt 284 :	1 0 1 
wam.txt 285 :	0 0 1 
wam.txt 286 :	0 0 0 
wam.txt 287 :	0 0 1 
wam.txt 288 :	0 1 1 
wam.txt 289 :	0 1 1 
wam.txt 290 :	0 1 1 
wam.txt 291 :	0 1 0 
wam.txt 292 :	0 0 1 
wam.txt 293 :	0 0 0 
wam.txt 294 :	0 1 1 
wam.txt 295 :	0 1 1 
wam.txt 296 :	0 1 1 
wam.txt 297 :	0 0 1 
wam.txt 298 :	0 1 1 
wam.txt 299 :	0 1 1 
wam.txt 300 :	0 1 0 
wam.txt 301 :	0 0 1 
wam.txt 302 :	0 1 0 
wam.txt 303 :	0 1 1 
wam.txt 304 :	0 0 1 
wam.txt 305 :	0 1 1 
wam.txt 306 :	0 1 1 
wam.txt 307 :	0 0 1 
wam.txt 308 :	1 0 1 
wam.txt 309 :	0 0 1 
wam.txt 310 :	0 1 1 
wam.txt 311 :	0 0 1 
wam.txt 312 :	0 1 1 
wam.txt 313 :	0 1 1 
wam.txt 314 :	0 1 1 
wam.txt 315 :	0 0 1 
wam.txt 316 :	0 0 1 
wam.txt 317 :	0 1 1 
wam.txt 318 :	0 0 1 
wam.txt 319 :	0 1 1 
wam.txt 320 :	0 1 1 
wam.txt 321 :	0 1 1 
wam.txt 322 :	0 0 1 
wam.txt 323 :	0 0 1 
wam.txt 324 :	0 1 1 
wam.txt 325 :	0 1 1 
wam.txt 326 :	0 0 1 
wam.txt 327 :	1 0 1 
wam.txt 328 :	0 0 0 
wam.txt 329 :	0 1 1 
wam.txt 330 :	0 1 1 
wam.txt 331 :	0 1 1 
wam.txt 332 :	0 1 1 
wam.txt 333 :	0 0 1 
wam.txt 334 :	0 1 1 
wam.txt 335 :	0 0 1 
wam.txt 336 :	0 1 1 
wam.txt 337 :	0 1 1 
wam.txt 338 :	0 0 1 
wam.txt 339 :	1 1 1 
wam.txt 340 :	0 0 1 
wam.txt 341 :	0 0 0 
wam.txt 342 :	1 0 1 
wam.txt 343 :	0 1 1 
wam.txt 344 :	0 0 1 
wam.txt 345 :	0 1 1 
wam.txt 346 :	0 0 1 
wam.txt 347 :	0 0 1 
wam.txt 348 :	0 0 1 
wam.txt 349 :	0 0 1 
wam.txt 350 :	0 0 1 
wam.txt 351 :	0 1 1 
wam.txt 352 :	0 1 0 
wam.txt 353 :	0 0 1 
wam.txt 354 :	1 0 1 
wam.txt 355 :	0 1 1 
wam.txt 356 :	0 1 1 
wam.txt 357 :	1 1 1 
wam.txt 358 :	0 0 1 
wam.txt 359 :	0 1 1 
wam.txt 360 :	1 1 1 
wam.txt 361 :	0 1 1 
wam.txt 362 :	0 1 1 
wam.txt 363 :	0 0 1 
wam.txt 364 :	0 1 1 
wam.txt 365 :	1 1 1 
wam.txt 366 :	0 0 1 
wam.txt 367 :	0 0 0 
wam.txt 368 :	0 0 1 
wam.txt 369 :	0 0 1 
wam.txt 370 :	0 1 1 
wam.txt 371 :	0 0 1 
wam.txt 372 :	0 1 1 
wam.txt 373 :	0 0 1 
wam.txt 374 :	0 0 1 
wam.txt 375 :	0 0 1 
wam.txt 376 :	0 0 1 
wam.txt 377 :	0 0 1 
wam.txt 378 :	0 1 1 
wam.txt 379 :	0 1 1 
wam.txt 380 :	0 0 1 
wam.txt 381 :	0 0 1 
wam.txt 382 :	0 1 1 
wam.txt 383 :	0 1 1 
wam.txt 384 :	0 1 0 
wam.txt 385 :	0 1 1 
wam.txt 386 :	0 1 1 
wam.txt 387 :	0 0 1 
wam.txt 388 :	1 0 1 
wam.txt 389 :	1 1 1 
wam.txt 390 :	0 0 1 
wam.txt 391 :	0 1 0 
wam.txt 392 :	0 0 1 
wam.txt 393 :	0 1 1 
wam.txt 394 :	0 0 1 
wam.txt 395 :	0 0 0 
wam.txt 396 :	0 0 1 
wam.txt 397 :	0 0 1 
wam.txt 398 :	0 0 1 
wam.txt 399 :	0 1 1 
wam.txt 400 :	1 1 1 
wam.txt 401 :	0 0 1 
wam.txt 402 :	0 1 1 
wam.txt 403 :	0 0 1 
wam.txt 404 :	0 1 1 
wam.txt 405 :	0 0 1 
wam.txt 406 :	0 0 1 
wam.txt 407 :	0 0 1 
wam.txt 408 :	0 1 1 
wam.txt 409 :	0 1 1 
wam.txt 410 :	0 1 0 
wam.txt 411 :	0 1 1 
wam.txt 412 :	1 1 1 
wam.txt 413 :	0 1 0 
wam.txt 414 :	0 1 0 
wam.txt 415 :	0 1 0 
wam.txt 416 :	0 0 1 
wam.txt 417 :	0 0 1 
wam.txt 418 :	0 0 1 
wam.txt 419 :	0 0 1 
wam.txt 420 :	0 0 1 
wam.txt 421 :	1 0 1 
wam.txt 422 :	0 1 1 
wam.txt 423 :	1 0 1 
wam.txt 424 :	0 1 1 
wam.txt 425 :	0 1 1 
wam.txt 426 :	0 0 1 
wam.txt 427 :	1 0 0 
wam.txt 428 :	0 0 1 
wam.txt 429 :	0 0 1 
wam.txt 430 :	0 0 1 
wam.txt 431 :	1 1 1 
wam.txt 432 :	0 1 1 
wam.txt 433 :	1 1 1 
wam.txt 434 :	1 1 0 
wam.txt 435 :	0 1 0 
wam.txt 436 :	0 0 1 
wam.txt 437 :	0 1 1 
wam.txt 438 :	0 1 0 
wam.txt 439 :	0 0 1 
wam.txt 440 :	0 1 1 
wam.txt 441 :	0 1 1 
wam.txt 442 :	0 0 1 
wam.txt 443 :	0 0 1 
wam.txt 444 :	0 1 1 
wam.txt 445 :	1 1 1 
wam.txt 446 :	0 0 1 
wam.txt 447 :	1 1 1 
wam.txt 448 :	0 0 1 
wam.txt 449 :	0 1 1 
wam.txt 450 :	0 1 1 
wam.txt 451 :	0 0 1 
wam.txt 452 :	0 0 1 
wam.txt 453 :	0 0 1 
wam.txt 454 :	0 0 1 
wam.txt 455 :	1 0 1 
wam.txt 456 :	0 0 1 
wam.txt 457 :	0 0 1 
wam.txt 458 :	0 1 1 
wam.txt 459 :	0 1 1 
wam.txt 460 :	0 1 1 
wam.txt 461 :	0 1 1 
wam.txt 462 :	0 1 1 
wam.txt 463 :	1 0 1 
wam.txt 464 :	0 0 1 
wam.txt 465 :	0 0 1 
wam.txt 466 :	0 1 1 
wam.txt 467 :	0 0 1 
wam.txt 468 :	0 0 1 
wam.txt 469 :	0 0 1 
wam.txt 470 :	0 1 1 
wam.txt 471 :	0 0 1 
wam.txt 472 :	1 0 1 
wam.txt 473 :	0 1 1 
wam.txt 474 :	0 0 1 
wam.txt 475 :	0 1 1 
wam.txt 476 :	0 0 1 
wam.txt 477 :	0 0 1 
wam.txt 478 :	0 1 1 
wam.txt 479 :	0 1 1 
wam.txt 480 :	0 0 1 
wam.txt 481 :	0 0 1 
wam.txt 482 :	0 0 1 
wam.txt 483 :	1 1 1 
wam.txt 484 :	0 1 1 
wam.txt 485 :	0 0 1 
wam.txt 486 :	0 1 1 
wam.txt 487 :	0 1 1 
wam.txt 488 :	1 0 1 
wam.txt 489 :	0 1 1 
wam.txt 490 :	0 0 1 
wam.txt 491 :	0 1 1 
wam.txt 492 :	0 1 1 
wam.txt 493 :	0 0 1 
wam.txt 494 :	0 0 1 
wam.txt 495 :	0 0 1 
wam.txt 496 :	1 1 1 
wam.txt 497 :	1 1 1 
wam.txt 498 :	0 0 1 
wam.txt 499 :	1 1 1 
wam.txt 500 :	0 0 0 
wam.txt 501 :	0 0 1 
wam.txt 502 :	0 0 1 
wam.txt 503 :	0 1 1 
wam.txt 504 :	0 1 1 
wam.txt 505 :	0 0 1 
wam.txt 506 :	0 0 1 
wam.txt 507 :	1 1 1 
wam.txt 508 :	0 1 1 
wam.txt 509 :	0 1 1 
wam.txt 510 :	0 1 1 
wam.txt 511 :	0 1 1 
wam.txt 512 :	0 0 1 
wam.txt 513 :	0 1 1 
wam.txt 514 :	0 0 0 
wam.txt 515 :	0 1 1 
wam.txt 516 :	1 0 1 
wam.txt 517 :	0 1 1 
wam.txt 518 :	0 1 1 
wam.txt 519 :	0 1 1 
wam.txt 520 :	0 0 1 
wam.txt 521 :	0 1 1 
wam.txt 522 :	0 0 1 
wam.txt 523 :	0 0 1 
wam.txt 524 :	0 1 1 
wam.txt 525 :	0 1 1 
wam.txt 526 :	0 0 1 
wam.txt 527 :	0 0 1 
wam.txt 528 :	0 0 1 
wam.txt 529 :	1 0 1 
wam.txt 530 :	0 0 1 
wam.txt 531 :	0 1 1 
wam.txt 532 :	0 1 1 
wam.txt 533 :	0 1 1 
wam.txt 534 :	0 1 1 
wam.txt 535 :	0 1 1 
wam.txt 536 :	0 1 1 
wam.txt 537 :	0 1 1 
wam.txt 538 :	0 1 1 
wam.txt 539 :	0 0 1 
wam.txt 540 :	0 0 1 
wam.txt 541 :	0 1 1 
wam.txt 542 :	0 1 1 
wam.txt 543 :	0 0 0 
wam.txt 544 :	0 1 1 
wam.txt 545 :	0 1 1 
wam.txt 546 :	0 1 1 
wam.txt 547 :	0 0 0 
wam.txt 548 :	0 0 1 
wam.txt 549 :	1 0 1 
wam.txt 550 :	0 0 1 
wam.txt 551 :	0 1 1 
wam.txt 552 :	1 1 1 
wam.txt 553 :	0 0 1 
wam.txt 554 :	0 0 1 
wam.txt 555 :	0 1 1 
wam.txt 556 :	0 1 1 
wam.txt 557 :	0 0 1 
wam.txt 558 :	1 0 0 
wam.txt 559 :	1 1 1 
wam.txt 560 :	0 0 1 
wam.txt 561 :	0 0 1 
wam.txt 562 :	0 1 1 
wam.txt 563 :	0 1 1 
wam.txt 564 :	0 1 1 
wam.txt 565 :	0 0 1 
wam.txt 566 :	0 0 1 
wam.txt 567 :	0 1 1 
wam.txt 568 :	0 1 1 
wam.txt 569 :	1 1 1 
wam.txt 570 :	0 0 1 
wam.txt 571 :	0 1 1 
wam.txt 572 :	0 1 1 
wam.txt 573 :	1 0 1 
wam.txt 574 :	0 1 1 
wam.txt 575 :	0 0 1 
wam.txt 576 :	0 1 1 
wam.txt 577 :	0 0 1 
wam.txt 578 :	0 1 0 
wam.txt 579 :	0 0 1 
wam.txt 580 :	0 1 1 
wam.txt 581 :	0 1 1 
wam.txt 582 :	0 1 1 
wam.txt 583 :	0 0 1 
wam.txt 584 :	0 0 1 
wam.txt 585 :	0 1 1 
wam.txt 586 :	1 1 1 
wam.txt 587 :	0 1 1 
wam.txt 588 :	0 0 1 
wam.txt 589 :	0 0 1 
wam.txt 590 :	1 0 1 
wam.txt 591 :	0 0 1 
wam.txt 592 :	0 0 1 
wam.txt 593 :	0 1 1 
wam.txt 594 :	0 1 1 
wam.txt 595 :	0 0 0 
wam.txt 596 :	0 0 1 
wam.txt 597 :	0 1 1 
wam.txt 598 :	0 0 1 
wam.txt 599 :	0 0 1 
wam.txt 600 :	0 1 0 
wam.txt 601 :	0 0 1 
wam.txt 602 :	0 1 1 
wam.txt 603 :	0 0 0 
wam.txt 604 :	0 1 1 
wam.txt 605 :	0 0 1 
wam.txt 606 :	0 0 1 
wam.txt 607 :	0 1 1 
wam.txt 608 :	0 1 1 
wam.txt 609 :	1 1 1 
wam.txt 610 :	0 0 1 
wam.txt 611 :	0 1 1 
wam.txt 612 :	0 1 1 
wam.txt 613 :	0 0 1 
wam.txt 614 :	0 1 1 
wam.txt 615 :	0 1 0 
wam.txt 616 :	1 0 1 
wam.txt 617 :	1 1 1 
wam.txt 618 :	0 0 1 
wam.txt 619 :	1 0 1 
wam.txt 620 :	0 0 1 
wam.txt 621 :	0 0 1 
wam.txt 622 :	0 0 1 
wam.txt 623 :	0 1 1 
wam.txt 624 :	0 0 1 
wam.txt 625 :	0 1 1 
wam.txt 626 :	0 1 1 
wam.txt 627 :	0 1 1 
wam.txt 628 :	0 1 1 
wam.txt 629 :	0 0 1 
wam.txt 630 :	0 0 1 
wam.txt 631 :	0 0 1 
wam.txt 632 :	1 0 1 
wam.txt 633 :	0 1 1 
wam.txt 634 :	0 1 1 
wam.txt 635 :	0 0 1 
wam.txt 636 :	0 0 1 
wam.txt 637 :	1 1 1 
wam.txt 638 :	0 0 1 
wam.txt 639 :	0 0 1 
wam.txt 640 :	1 0 1 
wam.txt 641 :	0 1 1 
wam.txt 642 :	0 1 1 
wam.txt 643 :	0 1 0 
wam.txt 644 :	0 1 1 
wam.txt 645 :	0 0 1 
wam.txt 646 :	0 1 1 
wam.txt 647 :	0 1 1 
wam.txt 648 :	0 0 1 
wam.txt 649 :	0 1 1 
wam.txt 650 :	0 0 1 
wam.txt 651 :	0 0 1 
wam.txt 652 :	0 1 1 
wam.txt 653 :	1 0 1 
wam.txt 654 :	0 1 1 
wam.txt 655 :	0 0 1 
wam.txt 656 :	0 0 1 
wam.txt 657 :	0 1 1 
wam.txt 658 :	0 0 1 
wam.txt 659 :	0 1 1 
wam.txt 660 :	0 1 1 
wam.txt 661 :	0 1 1 
wam.txt 662 :	0 0 1 
wam.txt 663 :	0 0 0 
wam.txt 664 :	0 0 1 
wam.txt 665 :	0 1 0 
wam.txt 666 :	0 0 1 
wam.txt 667 :	0 0 1 
wam.txt 668 :	0 0 1 
wam.txt 669 :	0 0 1 
wam.txt 670 :	0 0 1 
wam.txt 671 :	1 1 1 
wam.txt 672 :	0 1 1 
wam.txt 673 :	0 1 1 
wam.txt 674 :	0 1 1 
wam.txt 675 :	0 1 1 
wam.txt 676 :	0 1 1 
wam.txt 677 :	0 0 1 
wam.txt 678 :	0 0 1 
wam.txt 679 :	0 0 1 
wam.txt 680 :	0 1 1 
wam.txt 681 :	0 0 1 
wam.txt 682 :	0 1 1 
wam.txt 683 :	0 0 1 
wam.txt 684 :	0 0 1 
wam.txt 685 :	0 0 1 
wam.txt 686 :	0 1 1 
wam.txt 687 :	0 0 1 
wam.txt 688 :	0 0 1 
wam.txt 689 :	0 1 1 
wam.txt 690 :	0 0 1 
wam.txt 691 :	0 1 1 
wam.txt 692 :	0 0 0 
wam.txt 693 :	0 0 1 
wam.txt 694 :	0 1 1 
wam.txt 695 :	1 1 1 
wam.txt 696 :	1 1 1 
wam.txt 697 :	0 1 0 
wam.txt 698 :	0 0 0 
wam.txt 699 :	1 0 1 
wam.txt 700 :	0 1 1 
wam.txt 701 :	0 1 1 
wam.txt 702 :	0 0 1 
wam.txt 703 :	0 0 1 
wam.txt 704 :	0 1 1 
wam.txt 705 :	0 0 0 
wam.txt 706 :	0 0 1 
wam.txt 707 :	0 0 1 
wam.txt 708 :	0 1 1 
wam.txt 709 :	1 1 1 
wam.txt 710 :	0 0 1 
wam.txt 711 :	0 1 1 
wam.txt 712 :	1 0 1 
wam.txt 713 :	0 1 1 
wam.txt 714 :	0 0 1 
wam.txt 715 :	0 0 1 
wam.txt 716 :	0 0 1 
wam.txt 717 :	0 1 0 
wam.txt 718 :	0 0 1 
wam.txt 719 :	0 1 1 
wam.txt 720 :	0 0 1 
wam.txt 721 :	0 1 1 
wam.txt 722 :	0 1 1 
wam.txt 723 :	0 0 1 
wam.txt 724 :	0 0 1 
wam.txt 725 :	0 1 1 
wam.txt 726 :	0 1 1 
wam.txt 727 :	0 1 1 
wam.txt 728 :	0 1 1 
wam.txt 729 :	0 0 1 
wam.txt 730 :	0 0 1 
wam.txt 731 :	0 0 1 
wam.txt 732 :	0 1 1 
wam.txt 733 :	0 1 1 
wam.txt 734 :	0 1 1 
wam.txt 735 :	0 1 1 
wam.txt 736 :	0 0 1 
wam.txt 737 :	1 0 1 
wam.txt 738 :	0 0 1 
wam.txt 739 :	0 0 0 
wam.txt 740 :	0 1 1 
wam.txt 741 :	1 1 0 
wam.txt 742 :	0 1 1 
wam.txt 743 :	0 1 1 
wam.txt 744 :	0 0 1 
wam.txt 745 :	0 0 1 
wam.txt 746 :	0 1 1 
wam.txt 747 :	0 1 0 
wam.txt 748 :	0 1 0 
wam.txt 749 :	0 1 1 
wam.txt 750 :	0 0 1 
wam.txt 751 :	0 1 1 
wam.txt 752 :	0 1 1 
wam.txt 753 :	0 0 0 
wam.txt 754 :	0 1 1 
wam.txt 755 :	1 1 1 
wam.txt 756 :	1 1 1 
wam.txt 757 :	0 1 1 
wam.txt 758 :	0 1 1 
wam.txt 759 :	0 0 0 
wam.txt 760 :	0 1 1 
wam.txt 761 :	0 1 1 
wam.txt 762 :	0 0 1 
wam.txt 763 :	0 1 1 
wam.txt 764 :	0 1 1 
wam.txt 765 :	0 0 1 
wam.txt 766 :	0 1 0 
wam.txt 767 :	0 0 1 
wam.txt 768 :	0 0 1 
wam.txt 769 :	1 1 1 
wam.txt 770 :	0 0 1 
wam.txt 771 :	1 0 0 
wam.txt 772 :	0 1 1 
wam.txt 773 :	0 1 1 
wam.txt 774 :	0 0 1 
wam.txt 775 :	0 0 1 
wam.txt 776 :	0 0 1 
wam.txt 777 :	0 1 1 
wam.txt 778 :	0 0 1 
wam.txt 779 :	0 1 1 
wam.txt 780 :	0 0 1 
wam.txt 781 :	0 0 1 
wam.txt 782 :	0 0 0 
wam.txt 783 :	0 1 0 
wam.txt 784 :	0 1 1 
wam.txt 785 :	0 0 1 
wam.txt 786 :	0 0 0 
wam.txt 787 :	0 1 1 
wam.txt 788 :	0 0 1 
wam.txt 789 :	1 1 1 
wam.txt 790 :	0 0 1 
wam.txt 791 :	0 0 1 
wam.txt 792 :	0 0 1 
wam.txt 793 :	0 1 1 
wam.txt 794 :	0 1 1 
wam.txt 795 :	0 0 1 
wam.txt 796 :	0 0 1 
wam.txt 797 :	0 1 1 
wam.txt 798 :	0 0 1 
wam.txt 799 :	0 0 1 
wam.txt 800 :	0 0 0 
wam.txt 801 :	0 1 1 
wam.txt 802 :	0 0 1 
wam.txt 803 :	0 1 0 
wam.txt 804 :	0 1 1 
wam.txt 805 :	0 1 1 
wam.txt 806 :	0 0 1 
wam.txt 807 :	0 0 1 
wam.txt 808 :	0 1 1 
wam.txt 809 :	0 0 1 
wam.txt 810 :	0 1 1 
wam.txt 811 :	0 0 1 
wam.txt 812 :	0 1 1 
wam.txt 813 :	0 0 1 
wam.txt 814 :	0 0 1 
wam.txt 815 :	0 1 1 
wam.txt 816 :	0 0 1 
wam.txt 817 :	0 0 1 
wam.txt 818 :	0 0 1 
wam.txt 819 :	0 1 0 
wam.txt 820 :	0 1 1 
wam.txt 821 :	0 0 1 
